timestamp,open,high,low,close,volume
2024-01-01 22:00:00,1.10427,1.10447,1.1042,1.10438,822
2024-01-01 23:00:00,1.10446,1.10446,1.10356,1.10365,3106
2024-01-02 00:00:00,1.10366,1.10383,1.10342,1.10381,3842
2024-01-02 01:00:00,1.1038,1.10432,1.10342,1.10348,7218
2024-01-02 02:00:00,1.10347,1.10359,1.10182,1.10187,9343
2024-01-02 03:00:00,1.10187,1.10247,1.10176,1.10245,4104
2024-01-02 04:00:00,1.10245,1.1025,1.10165,1.10208,4188
2024-01-02 05:00:00,1.10208,1.10335,1.10208,1.10333,4925
2024-01-02 06:00:00,1.10334,1.10351,1.10268,1.10286,7063
2024-01-02 07:00:00,1.10286,1.1038,1.10151,1.10153,13999
2024-01-02 08:00:00,1.10156,1.10387,1.10156,1.10295,19871
2024-01-02 09:00:00,1.10296,1.10378,1.10107,1.1015,15758
2024-01-02 10:00:00,1.10149,1.1017,1.0997,1.10075,15455
2024-01-02 11:00:00,1.10075,1.10077,1.09665,1.0969,18960
2024-01-02 12:00:00,1.09691,1.09717,1.09537,1.09537,12596
2024-01-02 13:00:00,1.09538,1.0965,1.09494,1.09527,17268
2024-01-02 14:00:00,1.09526,1.09639,1.09448,1.09631,27839
2024-01-02 15:00:00,1.09631,1.09682,1.0941,1.09435,28714
2024-01-02 16:00:00,1.09436,1.09616,1.09408,1.09564,15009
2024-01-02 17:00:00,1.09565,1.09575,1.09459,1.09504,12681
2024-01-02 18:00:00,1.09504,1.09558,1.09462,1.09467,9528
2024-01-02 19:00:00,1.09466,1.09501,1.09429,1.09465,7294
2024-01-02 20:00:00,1.09465,1.09511,1.09421,1.09431,11180
2024-01-02 21:00:00,1.0943,1.09432,1.09383,1.09396,4734
2024-01-02 22:00:00,1.09396,1.09438,1.09375,1.09404,3158
2024-01-02 23:00:00,1.09404,1.09436,1.09404,1.09416,2488
2024-01-03 00:00:00,1.09416,1.09505,1.09412,1.09494,2949
2024-01-03 01:00:00,1.09493,1.09546,1.09448,1.09513,5101
2024-01-03 02:00:00,1.09513,1.0953,1.09486,1.09522,4440
2024-01-03 03:00:00,1.09522,1.09622,1.09488,1.09608,5350
2024-01-03 04:00:00,1.09607,1.09624,1.09588,1.09622,4284
2024-01-03 05:00:00,1.09623,1.09627,1.09512,1.09512,5484
2024-01-03 06:00:00,1.09512,1.09607,1.09511,1.09586,3817
2024-01-03 07:00:00,1.09585,1.09627,1.09514,1.09603,11739
2024-01-03 08:00:00,1.09602,1.09654,1.09502,1.09526,21436
2024-01-03 09:00:00,1.09526,1.09562,1.09348,1.09362,14080
2024-01-03 10:00:00,1.09362,1.0939,1.09262,1.09279,9861
